content,actual_title,predicted_simple,predicted_zero_shot,predicted_few_shot,predicted_refined,predicted_fine_tuned
شرح ادعا ویدیویی از اظهارات سرکنسولگری ایران در هرات در اینستاگرام وایرال شده است که ایشان در صحبت‌های خود ادعا می‌کنند که یکی از کنسولگری‌های ایران در افغانستان روزانه بیش از ۴ هزار ویزا برای ورود افغانستانی‌ها به ایران صادر می‌کنند. نتیجه بررسی بررسی سخنرانی امیرسعید ایروانی سفیر و نماینده دائم جمهوری اسلامی ایران نزد سازمان ملل در مورد رویکرد ایران نسبت به مهاجران افغانستانی و گفتگوی نادر یاراحمدی، رئیس مرکز امور اتباع و مهاجران خارجی وزارت کشور با خبرگزاری ایسنا حاکی از این است که: روزانه بیش از ۵ هزار ویزا توسط کنسولگری‌های ایران برای مهاجران افغانستانی صادر می‌شود. سالانه حدود ۵۰۰ هزار ویزا به افغانستانی‌ها داده می‌شود. هم اکنون نزدیک به ۶ میلیون مهاجر مجاز و غیرمجاز در کشور وجود دارد. آمار تفکیکی از تعداد ویزای صادر شده توسط کنسولگری‌های مختلف وجود نداشته و آمار فوق بصورت تجمیعی اعلام شده است. بنابراین، اظهارات رئیس مرکز امور اتباع و مهاجران خارجی وزارت کشور نشان می‌دهد که روزانه بیش از ۴ هزار مهاجر افغانستانی به‌صورت قانونی وارد کشور می‌شوند و ادعای فوق درست است.,کنسولگری‌های ایران توان صدور روزانه بیش از ۴ هزار ویزا برای افغانستانی‌ها را دارند,ادعای ۴ هزار ویزای روزانه ایران برای افغانستانی‌ها در هرات,کنسولگری ایران: بیش از ۴ هزار ویزا روزانه برای افغانستانی‌ها صادر می‌شود، بر خلاف ادعاهای قبلی.,رئیس مرکز امور مهاجران: روزانه بیش از ۴ هزار ویزا به افغانستانی‌ها صادر می‌شود,رئیس مرکز مهاجران: روزانه بیش از ۴ هزار ویزا برای افغانستانی‌ها صادر می‌شود,یکی از کنسولگری‌های ایران در افغانستان، روزانه بیش از ۴ هزار ویزا برای ورود افغانستانی‌ها صادر می‌کند
شرح ادعا کاربری در ایکس ادعا کرده است که پزشکیان رای آورده و به دختر ۱۴ ساله بر سر مسئله حجاب حمله شده‌است. نتیجه بررسی بر اساس اطلاعیه مرکز اطلاع رسانی پلیس پایتخت ، این واقعه در تاریخ یکم تیرماه ۱۴۰۳ رخ داده‌است. در آن تاریخ،  هنوز انتخابات ریاست جمهوری برگزار نشده و مسعود پزشکیان به عنوان رئیس جمهور انتخاب نشده بوده‌است. ماجرا: در روزهای گذشته ویدیویی از درگیری چند مامور زن پلیس با دختری جوان به دلیل نداشتن حجاب، به شکل گسترده در فضای مجازی منتشرشده و مورد توجه افکار عمومی قرار گرفت. بنابراین ادعای این کاربر در مورد وقوع این واقعه پس از رای آوردن پزشکیان تصدی او بر دولت نادرست ارزیابی می‌شود.,حمله به دختران نوجوان برای حجاب پس از ریاست جمهوری پزشکیان اتفاق افتاده است,اتهام واهی پزشکیان در درگیری حجاب‌ستانی,ادعای نادرست درباره حمله پزشکیان به دختر ۱۴ ساله به دلیل حجاب، پس از انتخابات بی‌اثر است.,پزشکیان رای نیاورده بود، درگیری حجاب در تیرماه ۱۴۰۳ رخ داده‌است,پزشکیان هنوز رای نیاورده و حمله به دختر جوان به دلیل حجاب رخ نداده‌است.,پزشکیان رای آورده و به دختر ۱۴ ساله بر سر مسئله حجاب حمله شده‌است
شرح ادعا کاربری در شبکه اجتماعی ایکس ادعا کرده‌است که ۷۵ درصد رشته پزشکی دانشگاه تهران سهمیه‌ای‌ها هستند. نتیجه بررسی دادگانی به صورت عمومی برای راستی‌آزمایی این ادعا وجود ندارد. اما دو نقل قول قابل توجه وجود دارد که می‌تواند مورد توجه مخاطبان واقع شود: محمدرضا ظفرقندی، وزیر کنونی بهداشت درمان و آموزش پزشکی و همچنین استاد تمام دانشکده علوم پزشکی دانشگاه تهران، در شهریورماه ۱۴۰۲ ، در مصاحبه با خبرگزاری ایکنا (خبرگزاری بین‌المللی قرآن وابسته به جهاد دانشگاهی) به عنوان استاد دانشکده علوم پزشکی دانشگاه تهران ،  اعلام کرد که بیش از دو سوم ظرفیت دانشکده پزشکی دانشگاه تهران، برای سهمیه‌ای ها است. همچنین، قائم مقام معاون آموزشی وزیر بهداشت در مرداد ۱۳۹۸ در گفتگو با ایسنا، گفته بود که ۶۰ درصد دانشجویان رشته‌های علوم پزشکی بر اساس سهمیه وارد دانشگاه می‌شوند. از آنجا که راهی وجود ندارد که فکتیار بتواند این نقل قول ‌ها را راستی‌آزمایی کند‍‍؛ فکتیار از ارايه نظر نهایی درباره آن خودداری می‌کند.,۷۵ درصد دانشجویان علوم پزشکی تهران، سهمیه‌ای هستند,ادعای سهمیه‌ای ۷۵ درصدی رشته پزشکی دانشگاه تهران صحت دارد؟,ادعای تخصیص ۷۵ درصد پزشکی دانشگاه تهران به سهمیه‌ها، با نقل قول‌های گذشته مورد تردید قرار می‌گیرد.,بیش از دو سوم دانشجویان رشته پزشکی دانشگاه تهران سهمیه‌‌ای هستند.,بیش از دو سوم دانشجویان پزشکی دانشگاه تهران سهمیه‌ای‌ها هستند.,۷۵ درصد رشته پزشکی دانشگاه تهران سهمیه‌ای‌ها هستند
رسانه ایران اینترنشنال در اینستاگرام خود مدعی شده است سید جواد حسینی کیا، نماینده مجلس شورای اسلامی در حمایت از ابراهیم رئیسی گفته است: «مصباح یزدی به بنده شخصا گفته اند چهار بار با واسطه از منبع موثق شنیده اند که رئیسی نظر کرده امام زمان است.» فکت‌یار در تاریخ 27 خردادماه  طی تماس تلفنی با سید جواد حسینی کیا نماینده مجلس شورای اسلامی، درباره این ادعا سوال کرد و حسینی کیا ضمن تکذیب ادعای رسانه ها گفت: « توئیتری که به نقل از من این اخبار را منتشر می‌کند جعلی است و هیچوقت مرحوم آیت الله مصباح یزدی به من چنین حرفی را نزده اند. این شیطنت کارجریان فتنه و منافقین داخلی است و قصد ضربه زدن به آیت الله رئیسی را دارند».,حسینی‌کیا، نماینده مجلس، به نقل از آیت‌الله مصباح یزدی گفته که رئیسی نظرکرده امام زمان است.,نماینده مجلس ادعای حمایت مصباح یزدی از رئیسی را رد کرد,نماینده مجلس: ادعای ایران اینترنال درباره نظر آیت‌الله مصباح به رئیسی، جعلی است.,"سید جواد حسینی‌کیا ادعای رسانه ایران اینترنشنال درباره نظر
رئیسی از امام زمان را رد کرد.",نماینده مجلس: مصباح یزدی به من گفته چهار بار از منبع موثق شنیده است که رئیسی نظر امام زمان را گرفته است.,حسینی کیا (نماینده مجلس): مصباح یزدی به بنده شخصا گفته است که رئیسی نظر کرده‌ است امام زمان!
شرح ادعا کاربری در توییتر ادعا کرده است که افزایش سن بازنشستگی در اروپا حتی یک یا دو سال با اعتراضات سندیکا و اعتصابات گسترده روبرو شده است. نتیجه بررسی • بر اساس اطلاعات رویترز و France24 ، Newyork Times و گاردین : • سن بازنشستگی در کشورهای مختلف اروپا متفاوت است. • تغییرات و اصلاحات سن بازنشستگی در اغلب کشورهای اروپایی اتفاق افتاده، اما در همه‌ی کشورها منجر به اعتراض و اعتصاب نشده است. • در ژانویه ۲۰۲۳، مجموعه‌ای از اعتراضات در سراسر فرانسه برای افزایش سن بازنشستگی از ۶۲ به ۶۴ سال اتفاق افتاد. • در جریان این اعتراضات، جمع‌آوران زباله و کارگران حمل‌ونقل در پاریس اعتصاب کردند. این اعتصابات باعث شد که نزدیک به ۱۰ هزار تن زباله در خیابان‌های پاریس جمع‌آوری نشود. • در سال ۲۰۱۸ نیز در انگلستان ، هزار زن در اعتراض به افزایش سن بازنشستگی دولتی زنان از ۶۰ به ۶۶ سال به سوی پارلمان انگلستان راه‌پیمایی کردند. • بنابراین فرانسه و انگلستان کشورهایی هستند که افزایش سن بازنشستگی در آن‌ها موجب اعتراضات و اعتصابات شده است اما در باقی کشورهای اروپایی این اتفاق نیفتاده است.,مردم اروپا به دلیل افزایش دوساله سن بازنشستگی، اعتراض و اعتصاب کردند,افزایش سن بازنشستگی در اروپا با اعتراضات گسترده مواجه شد,افزایش سن بازنشستگی در اروپا، با اعتراضات و اعتصابات گسترده در فرانسه و انگلستان مواجه شده است.,افزایش سن بازنشستگی در اروپا با اعتراضات گسترده روبرو شده است.,افزایش سن بازنشستگی در اروپا با اعتراضات گسترده روبرو شده است.,افزایش سن بازنشستگی در اروپا با اعتراضات روبرو شده است
شرح ادعا صفحه روزنامه شرق در توییتر ادعا کرده است که طبق لایحه بودجه ۱۴۰۳، اجاره‌نشین‌ها باید سال آینده معادل اجاره‌بهای هفت متر مربع از یک آپارتمان مالیات بدهند. نتیجه بررسی این خبر ابتدا در ۴ آذر ۱۴۰۲ از سوی «دنیای اقتصاد» منتشر شد؛ که البته طبق آن، بنابر بند ث تبصره ۱۶ لایحه بودجه ۱۴۰۳ این مالیات برای «حقوق‌بگیران» است و نه «اجاره‌نشینان»: گزارش اولیه از سوی دنیای اقتصاد پس از آن در ۲۹ آذر، دنیای اقتصاد مطلبی با عنوان « پاسخ رسمی به تنبیه مالیاتی اجاره‏‏‌نشین‏‏‌ها » منتشر کرد که طبق آن روابط عمومی وزارت امور اقتصادی و دارایی، به انتقادات مطرح‌شده نسبت به دولت پاسخ داده شده بود. بررسی نسخه نهایی لایحه بودجه ۱۴۰۳ نشان می‌دهد که در هیچ‌کجای آن و بند مذکور، سخنی از مالیات اجاره‌نشینان به میان نیامده است. همچنین سازمان امور مالیاتی در روز ۴ دی ماه، دریافت مالیات از مستاجران را تکذیب کرد. گزارش تکذیبیه از سوی سازمان امور مالیاتی کشور بنابراین؛ ادعای مطرح شده نادرست است.,اجاره‌نشین ها مشمول مالیات می‌شوند,مالیات بر متر مربع: تکذیب ادعای بودجه ۱۴۰۳,مالیات بر اجاره‌بهای هفت متر مربع در لایحه بودجه ۱۴۰۳، صحت‌سنجی و تکذیب قطعی توسط مقامات.,اجاره‌نشین‌ها سال آینده باید معادل اجاره‌بهای هفت متر مربع مالیات بدهند.,"اجاره‌نشین‌ها سال آینده باید معادل اجاره‌بهای هفت متر مربع
مالیات بدهند.",طبق لایحه بودجه ۱۴۰۳ اجاره‌نشین‌ها باید سال آینده معادل اجاره‌بهای هفت متر مربع از یک آپارتمان را مالیات دهند
شرح ادعا کاربری با انتشار فیلم تبلیغ کردن فاطمه محمدبیگی و حمایت وی از سعید جلیلی در برابر تریبون خبرگزاری‌های رسمی، این رفتار وی را خلاف قانون خواند و از اینکه وی در صحن علنی مجلس خواهان برخورد قانونی با انتصاب ظریف است، انتقاد کرد. نتیجه بررسی براساس تبصره دوم ماده ۶۸ قانون انتخابات ریاست جمهوری، «ادارات و سازمان‌ها و ارگان‌های دولتی و نهادها و اعضای آن‌ها، با ذکر سمت خود حق ندارند له یا علیه هیچ‌یک از نامزدهای انتخاباتی اعلامیه، اطلاعیه، پلاکارد بدهند». منظور از اداره، سازمان‌، ارگان و یا‌‌  موسسه دولتی، مطابق مواد ۱ تا ۴ قانون خدمات مدیریت کشوری، «واحد سازمانی مشخصی است که به موجب قانون ایجاد شده یا می شود و با داشتن استقلال حقوقی، بخشی از وظایف و اموری را که بر عهده یکی از قوای سه گانه و سایر مراجع قانونی می‌باشد انجام می دهد». فاطمه محمدبیگی در تاریخ ۴ آذرماه در صحن علنی مجلس شورای اسلامی با اشاره به انتصاب محمد جواد ظریف گفته بود که«ما موظفیم از اقدامات غیرقانونی جلوگیری کنیم و بر اساس منویات مقام معظم رهبری، درگاه‌های نفوذ به کشور را ببندیم». بنابراین، ادعای این کاربر در مورد اینکه این نماینده مجلس، در زمان انتخابات ریاست جمهوری رفتار خلاف قانون داشته و حالا خواهان اجرای قانون است، درست ارزیابی می‌شود.,نماینده مجلسی که خلاف قانون برای جلیلی تبلیغ کرد، خواهان اجرای قانون در مورد ظریف است,انتقاد از محمدبیگی به دلیل تبلیغات انتخاباتی در مجلس,نماینده مجلس از حمایت جلیلی انتقاد کرد و خواستار برخورد قانونی بر اساس قانون انتخابات شد.,نماینده مجلس از انتصاب ظریف در زمان انتخابات انتقاد کرد.,نماینده مجلس از انتصاب ظریف خواهان برخورد قانونی شده است.,نماینده مجلس در زمان انتخابات ریاست‌جمهوری از دولت شکایت کرده بود، اما حالا رفتار او را خلاف قانون می‌خواند
چندی پیش یکی از نمایندگان سابق مجلس در تویییتی ادعا کرد که یکی از وزیران دولت روحانی در رابطه با پرونده مهدی اکبری بازداشت شده است. قدوسی در توییت خود از کسی نام نبرده است اما عده‌ای در فضای مجازی اعلام کرده‌اند که وزیر دستگیر شده آذری جهرمی است. توییت ادعای قدوسی طبق صحبت‌های امروز (۱۱ بهمن ۱۴۰۱) سخنگوی قوه قضاییه، این ادعا نادرست است و تا کنون هیچ یک از وزرای دولت سابق در ارتباط با این پرونده دستگیر نشده‌اند. تصویر صحبت سخن‌گوی قوه‌قضاییه در خصوص بازداشت یکی از وزرای روحانی منبع: www.mizan.news همچنین آذری جهرمی نیز در کانال تلگرام خود به این ادعا واکنش نشان داد. پست کانال تلگرامی آذری جهرمی,یکی از وزرای دولت روحانی در رابطه با پرونده مهدی اکبری دستگیر شده است,ادعای بازداشت وزیر روحانی: قوه قضاییه خبر را رد کرد,ادعای بازداشت وزیر در پرونده مهدی اکبری توسط قوه قضاییه به طور کامل رد شد.,ادعای قدوسی درباره بازداشت وزیر روحانی نادرست است.,نماینده سابق مجلس ادعا کرده بود که وزیر دستگیر شده است.,یکی از وزیران دولت روحانی در پرونده مهدی اکبری بازداشت شد.
شرح ادعا سیامک قاسمی، کارشناس اقتصادی، در ایکس ادعا کرده است که علی‌رغم نزدیک به یک سال تثبیت دلار ۵۰ هزار تومانی، تورم همچنان ۴۰درصد است. علاوه‌براین، در ماه گذشته تورم سه درصد افزایش یافت. خلاصه نتیجه بررسی بنابراین، با تورم ۴۴ درصدی، قیمت دلار تقریبا از ابتدای سال با نرخ ۵۰ هزار تومان ثابت مانده و ادعای کاربر درست است. نتیجه بررسی براساس گزارش مرکز آمار در آذرماه ۱۴۰۲: شاخص قیمت مصرف‌کننده (تورم) نسبت به ماه قبل ٢.٩ درصد افزایش داشت. این مقدار نسبت به ماه مشابه سال قبل ۴۰.۲ درصد افزایش داشته است. تورم در دوازده ماهه منتهی به آذر، نسبت به دوره مشابه سال قبل، ۴۴.۴ درصد روند صعودی داشت. تورم ماهانه و نقطه به نقطه در ده سال اخیر براساس اطلاعات شبکه اطلاع‌رسانی طلا، سکه و ارز: در ۱۲ دی ۱۴۰۲، قیمت دلار ۵۰ هزار و ۵۰۵ تومان است. در ۷ فروردین ۱۴۰۲ نیز دلار با قیمت ۵۱ هزار و ۶۱۰ تومان معامله شد. نمودار تثبیت نرخ ارز از هفتم فروردین سال ۱۴۰۲,علی‌رغم تثبیت دلار ۵۰ هزار تومانی، تورم زیر ۴۰ درصد نیامده است,تورم ۴۴ درصدی در حالی که نرخ دلار ثابت است,تورم ۴۴ درصدی همچنان با دلار ۵۰ هزار تومانی تثبیت شده است.,با وجود تثبیت نرخ دلار در ۵۰ هزار تومان، تورم همچنان ۴۴ درصد است.,علی‌رغم تثبیت دلار ۵۰ هزار تومانی، تورم همچنان ۴۰ درصد است.,علی‌رغم تثبیت نرخ دلار در کانال ۵۰هزار تومانی، تورم ۴۰ درصد است
محمود احمدی‌نژاد در کلاب‌هاوس گفته است که «من می‌توانستم مساله با اروپا و آمریکا را حل کنم؛ اما اختیار آن را نداشتم. مگر ما در سال 89 مساله هسته‌ای را با خود آمریکا توافق نکردیم؟» به گزارش مشرق ، مجله فرهنگ و علوم انسانی عصر اندیشه در شماره ۲۵ خود گفتگوی مفصلی با دکتر علی‌اکبر صالحی، رئیس سازمان انرژی اتمی، انجام داده است. در این‌ گفتگو صالحی گفته است: علی‌رغم موافقت رهبری با گفتگوهای مستقیم با طرف آمریکایی، احمدی‌نژاد با این طرح مخالفت کرد و منجر به سوزاندن فرصت طلایی کشور در زمانی شد.,احمدی‌نژاد: با آمریکا توافق کردیم، اما برخی در داخل کشور نگذاشتند.,احمدی‌نژاد: می‌توانستم با غرب توافق کنم، اما اختیار نداشتم,احمدی‌نژاد ادعا کرد نتوانست با غرب مقابله کند، در حالی که صالحی مخالفت او با گفتگو با آمریکا را نقد کرد.,احمدی‌نژاد ادعا کرد: «من می‌توانستم مساله با اروپا و آمریکا را حل کنم.»,محمود احمدی‌نژاد ادعا کرد نمی‌توانست مساله با اروپا و آمریکا را حل کند.,احمدی‌نژاد: من می‌توانستم مساله هسته‌ای را با اروپا و آمریکا حل کنم؛ اما اختیار آن را نداشتم.
شرح ادعا کاربری در شبکه اجتماعی ایکس ادعا کرده‌است که ایران رتبه ۲۷ جراحی زیبایی را در دنیا داراست. نتیجه بررسی بر اساس اطلاعات وبسایت استاتیستا ، سه کشور آمریکا و برزیل و مکزیک بیشترین تعداد عمل زیبایی را دارند. بر اساس رتبه‌بندی این سایت، ایران در ده کشور اول دارای بیشترین میزان عمل زیبایی نیز جایگاهی ندارد. (این آمار بر اساس سرانه نیست.) همچنین براساس گزارش انجمن بین‌المللی جراحان پلاستیک، ایران با ۲۰۰ هزار عمل در سال، جزء ۱۵ کشور اول جهان در تعداد جراحی پلاستیک است. (این تعداد بر اساس سرانه نیست.) در منبعی که خود کاربر گذاشته نیز، پس از بررسی مشخص شد که رتبه ایران در جراحی زیبایی ۲۵ است. نکته:  باید توجه داشت که این آمارها بر اساس تعداد عمل است و بدیهی است که هرچقدر جمعیت کشور بیشتر باشد، تعداد عمل‌‌های زیبایی بییشتر می‌شود. برای مثال، سرانه عمل زیبایی در ایران با فرض ۸۸ میلیون جمعیت، حدود ۰.۰۰۲۲است که این میزان از سرانه کشور هند با ۱ میلیارد و ۴۱۷ میلیون جمعیت و سرانه ۰.۰۰۰۷۲، بیشتر است. بنابراین، ادعای این کاربر با واقعیت فاصله دارد و همچنین بدون توجه به سرانه عمل زیبایی در ایران و رتبه ایران در عمل جراحی بینی است. بنابراین، این ادعا گمراه‌کننده ارزیابی می‌شود.,ایران رتبه ۲۷ عمل زیبایی را در جهان دارد,رتبه ۲۷ ایران در جراحی زیبایی: بررسی ادعاها و آمارها,ایران در رتبه ۲۵ جراحی زیبایی جهان قرار دارد و ادعای ۲۷ام نادر و گمراه‌کننده است.,ایران رتبه ۲۷ جراحی زیبایی را در دنیا دارد، ادعا نادرستی است.,کاربر ادعا کرده ایران رتبه ۲۷ جراحی زیبایی را دارد که نادرست است.,ایران رتبه ۲۷ جراحی زیبایی را در جهان دارد
شرح ادعا زاکانی در مناظره دوم ادعا کرده است که در حادثه قطار تبریز در سال ۹۵، عباس آخوندی به جای دلجویی گفت مسافران بیمه بوده‌اند. نتیجه بررسی عباس آخوندی در همان روز در ویدیویی می‌گوید: امیدوارم آنچه را که می‌توانیم برای کمک به خانواده‌ها انجام دهیم، البته تمامی خانواده‌ها بیمه بوده‌اند و تمام اقدامات درمانی هم بر اساس بیمه انجام می‌شود. پس از این ماجرا، نمایندگان مجلس و مردم به آخوندی اعتراض کرده و حتی یک نماینده مجلس گفت او را استیضاح خواهند کرد. عباس آخوندی هم در ۸ آذر در پیامی به مردم آذربایجان، ضمن ابراز تاسف از حادثه از مردم ایران عذرخواهی کرد. بنابراین، از آنجا که واکنش ابتدایی آخوندی مطابق به ادعای زاکانی بوده، ادعای او درست است.,زاکانی: در حادثه قطار تبریز، وزیر روحانی به‌جای دلجویی گفت مسافران بیمه بوده‌اند,اتهام بیمه‌بندی قربانیان حادثه قطار تبریز به آخوندی صحت دارد,آخوندی در پی حادثه قطار تبریز: ادعای زاکانی درباره بیمه‌کردن مسافران صحت دارد.,آخوندی در حادثه قطار تبریز، مسافران را بیمه خواند.,زاکانی ادعا کرد آخوندی به جای دلجویی گفت مسافران بیمه بودند.,زاکانی: در حادثه قطار تبریز، عباس آخوندی (وزیر راه در آن زمان) به جای دلجویی از مسافران، بیمه‌ها را مطرح کرده بود
خلاصه بررسی بررسی‌های فکت‌یار نشان داد ایران به لطف «مرکز تحقیقاتی کرایوژنیک و دانشگاه صنعتی شریف» در مسیر بومی‌سازی و خودکفایی این فناوری است. اگرچه در برخی زمینه‌ها نوآوری و ابتکار داشته‌ایم، اما هنوز نمی‌توان گفت به جمع ۵ کشور دارای این فناوری رسیده‌ایم. شرح ادعا در محتوای وایرال حوزه علم و فناوری، به خبری درباره پیوستن «ایران به جمع ۵ کشور دارای فناوری جداسازی هوا» برخوردیم. محتوای وایرال تلگرام درباره پیوستن ایران به جمع پنج کشور دارای فناوری جداسازی هوا راستی‌آزمایی به‌تازگی « مرکز تحقیقاتی کرایوژنیک » دانشگاه صنعتی شریف در حضور معاون علمی و فناوری رئیس جمهور، توسط « شرکت هتکو » بهره‌برداری شد. • در گفتگویی که با این شرکت داشتیم، تاکید کردند که ایران به لطف «مرکز تحقیقاتی کرایوژنیک و دانشگاه صنعتی شریف» در مسیر بومی‌سازی و خودکفایی این فناوری است. • قرار است در یک فضای مشترک، همکاری بیشتری صورت گیرد تا بخش‌هایی از این فناوری مورد واکاوی و مهندسی معکوس قرار گیرد. از آن‌جا که کرایوژنیک در اختیار کشورهای محدودی در جهان است، تشکیل مرکز تحقیقاتی گام بلندی برای رسیدن ایران به جمع این کشورها خواهد بود. • به گفته هتکو، در تهیه این خبر به رسانه‌ها گفته شده که باید عبارت “ایران در مسیر پیوستن به ۵ کشور داری این فناوری” درج شود.,ایران به جمع پنج کشور دارای فناوری جداسازی هوا پیوست,ایران در مسیر خودکفایی فناوری کرایوژنیک,ایران با بومی‌سازی فناوری جداسازی هوا، گامی به سوی خودکفایی برداشت.,ایران در مسیر بومی‌سازی فناوری جداسازی هوا است,ایران در مسیر بومی‌سازی فناوری جداسازی هوا است.,ایران به جمع ۵ کشور دارای فناوری جداسازی هوا پیوست.
شرح ادعا کاربری در ایکس مدعی شده است که صادرات برق ایران در سال ۱۳۹۱حدود ۱.۵ میلیارد دلار بوده است و در حال برنامه‌ریزی برای صادرات برق به اروپا بودیم. نتیجه بررسی بررسی وب‌سایت تجارت جهانی نشان می‌دهد که: میزان صادرات برق ایران در سال ۲۰۱۲(۱۳۹۱) حدود ۸۲.۸ میلیون دلار بوده است. در سال‌های ۲۰۱۴ (۱۳۹۳) و ۲۰۱۵ (۱۳۹۴ ) ایران به‌ترتیب با ۱۶۳و ۱۳۵میلیون دلار صادرات برق، بیشترین میزان صادرات برق در سال‌های اخیر را داشته است. سال‌های ۲۰۲۱(۱۴۰۰) و ۲۰۲۳(۱۴۰۲) نیز به‌ترتیب با حدود ۴۰ و ۱۵ میلیون دلار، کمترین میزان صادرات برق ایران در سال‌های اخیر بوده است. بنابراین، صادرات برق ایران در سال ۱۳۹۱ حدود ۸۲.۸ میلیون دلار بوده است و بیشترین میزان صادرات برق کشور در سال‌های اخیر نیز حدود ۱۶۳ میلیون دلار بوده است که با ۱.۵ میلیارد دلاری که ادعا شده است تفاوت فاحشی دارد و ادعای فوق نادرست است.,در سال ۱۳۹۱، ایران ۱.۵ میلیارد دلار صادرات برق داشت,ادعای صادرات برق ایران به اروپا در سال ۱۳۹۱ رد شد,ادعای صادرات برق ایران به اروپا در سال ۱۳۹۱ با آمار رسمی تجارت جهانی در تضاد است.,ادعای صادرات ۱.۵ میلیارد دلاری برق ایران در سال ۱۳۹۱ نادرست است.,صادرات برق ایران در سال ۱۳۹۱ حدود ۸۲.۸ میلیون دلار بوده است.,در سال ۱۳۹۱ ایران ۱.۵ میلیارد دلار برق صادر کرده و در حال برنامه‌ریزی برای صادرات به اروپا بوده است
خلاصه گزارش اولا تحقیقات معتبر و مستقلی در خصوص متوسط دریافت اخبار نادرست در جهان وجود ندارد. ثانیا طبق پژوهش‌های معتبر در کشورهای توسعه‌یافته‌ تنها یک درصد از اخبار سیاسی منتشرشده از اخبار سیاسی، اخبار نادرست یا گمراه‌کننده بوده است. بنابراین اگر منظور از این ادعا درصد اخبار نادرست باشد 180 برابر بودن آن در ایران غیرممکن است. اگر منظور تعداد اخبار نادرست باشد هیچ پژوهش مستقل و معتبری وجود ندارد. ثالثا تنها پژوهش مستقل و معتبری که در ایران انجام شده “اخبار نادرست در زمان شیوع کرونا” بوده که توسط تیمی از محققین ایرانی ارائه شده است، که براساس نتایج آن مواجهه‌ی ایرانی‌ها با اخبار نادرست 1 درصد است یعنی همان میزان موجود در کشورهای توسعه‌یافته بوده است. شرح گزارش در روز اول سال 2023 توییت کاربری مبنی بر اینکه «ایرانی‌ها ۱۸۰ برابر متوسط جهان، شایعات اخبار دروغ و اخبار ناامید کننده دریافت می‌کنند.» در بین پربازدیدترین‌های توییتر فارسی قرار گرفت (تصویر زیر). توییت کاربر مبنی بر میزان مواجهه شدن با اخبار نادرست ایرانی‌ها طبق پژوهش‌های منتشر شده در مجله‌ی (science) که با استفاده از دادگان کشور آمریکا صورت گرفته، آمده است که (تصویر زیر): 1- سهم انواع اخبار، به طرز چشمگیری از باقی محتواهای منتشر شده در رسانه‌ها کمتر بوده و تنها     14.2 درصد مصرف روزانه رسانه مردم آمریکا را تشکیل می‌داد. 2- فیک‌نیوزها سهم کمی از کل مصرف رسانه‌ای داشتند و تنها 0.15 درصد از کل محتوا را تشکیل می‌دادند. 3- سهم اخبار جعلی از کل اخبار مصرفی حدود 1 درصد بود که افراد مسن‌تر بیشتر از جوان‌ها در معرض‌ این نوع اخبار قرار گرفته بودند. پژوهش ارزیابی اخبار جعلی با استفاده از دادگان آمریکا در مجله (science.org) پژوهش ارزیابی اخبار جعلی با استفاده از دادگان آمریکا در مجله (science.org) بنابراین اگر منظور از “180 برابر” در گزاره‌ی فوق درصد اخبار فیک باشد طبق این تحقیقات و یک درصدی اخبار جعلی در کل اخبار، 180٪ اخبار فیک بدست می‌آید که دور از ذهن و غیرممکن است. از طرفی تنها پژوهش مستقلی که در ایران بدست آوردیم و مرتبط با این زمینه است تحقیقات شرکت متددیتاست . یافته‌های این پژوهش در مورد “اخبار نادرست در زمان شیوع کرونا” می‌باشد که نشان می‌دهد سهم اخبار فیک در کرونا یک درصد بوده است و گزاره‌ی توییت کاربر مبنی بر”180 برابری” اگر تعداد اخبار نادرست مد نظر است نیز با این پژوهش رد می‌شود (تصویر زیر). پژوهش شرکت متدیتا مبنی بر اخبار نادرست در زمان شیوع کرونا همچنین تحقیقات معتبر و مستقلی در خصوص متوسط دریافت اخبار نادرست در جهان وجود ندارد. بنابراین ادعای کاربر مبنی بر «ایرانی‌ها ۱۸۰ برابر متوسط جهان، شایعات اخبار دروغ و اخبار ناامید کننده دریافت می‌کنند.» نادرست است.,ایرانی‌ها ۱۸۰ برابر متوسط جهان، شایعات اخبار دروغ و اخبار ناامید کننده دریافت می‌کنند.,ادعای ۱۸۰ برابری اخبار نادرست در ایران رد شد,ایرانیان با دریافت اخبار نادرست، در سطح مشابه کشورهای توسعه‌یافته قرار دارند.,ایرانی‌ها با میزان اخبار نادرست برابر با کشورهای توسعه‌یافته‌اند,ایرانی‌ها با یک درصد اخبار نادرست، در سطح جهانی هستند,ایرانی‌ها ۱۸۰ برابر متوسط جهان، شایعات اخبار دروغ و ناامید کننده دریافت می‌کنند.
